N,t,one_qubit,factor_found,n_qubits,depth,n_attempts,simulation_time,total_time,noise
187,10,False,11,0.0,0.0,1,0.0,1.0728836059570312e-05,False
187,10,False,11,0.0,0.0,4,0.0,219.16554617881775,False
201,10,False,3,0.0,0.0,3,0.0,146.24928951263428,False
201,10,False,3,0.0,0.0,11,0.0,729.7514936923981,False
201,10,False,3,0.0,0.0,1,0.0,1.1205673217773438e-05,False
201,10,False,3,0.0,0.0,6,0.0,364.64060521125793,False
201,10,False,3,0.0,0.0,2,0.0,72.93525171279907,False
201,10,False,3,0.0,0.0,1,0.0,1.0251998901367188e-05,False
201,10,False,3,0.0,0.0,6,0.0,364.6471314430237,False
201,10,False,3,0.0,0.0,2,0.0,73.03201174736023,False
201,10,False,3,0.0,0.0,2,0.0,72.8636703491211,False
201,10,False,3,0.0,0.0,1,0.0,1.0967254638671875e-05,False
203,10,False,7,0.0,0.0,9,0.0,583.5566470623016,False
203,10,False,7,0.0,0.0,1,0.0,1.1444091796875e-05,False
203,10,False,29,0.0,0.0,16,0.0,1093.8940885066986,False
203,10,False,7,0.0,0.0,5,0.0,291.2415146827698,False
203,10,False,7,0.0,0.0,3,0.0,145.74565958976746,False
203,10,False,7,0.0,0.0,4,0.0,218.68682742118835,False
203,10,False,7,0.0,0.0,1,0.0,1.1205673217773438e-05,False
203,10,False,7,28,5953,10,73.40548062324524,729.4868743419647,False
203,10,False,7,0.0,0.0,3,0.0,145.45173454284668,False
203,10,False,7,0.0,0.0,9,0.0,583.325924873352,False
205,10,False,5,0.0,0.0,1,0.0,1.0728836059570312e-05,False
205,10,False,5,0.0,0.0,2,0.0,72.95649671554565,False
205,10,False,5,0.0,0.0,4,0.0,219.00965476036072,False
205,10,False,5,0.0,0.0,3,0.0,145.67264580726624,False
205,10,False,41,0.0,0.0,5,0.0,291.5784595012665,False
205,10,False,5,0.0,0.0,5,0.0,292.14893984794617,False
205,10,False,5,0.0,0.0,5,0.0,291.71792793273926,False
205,10,False,41,28,5953,4,72.69499087333679,291.74449038505554,False
205,10,False,5,0.0,0.0,1,0.0,2.288818359375e-05,False
205,10,False,5,0.0,0.0,3,0.0,145.78552985191345,False
209,10,False,11,0.0,0.0,2,0.0,72.97490644454956,False
209,10,False,11,0.0,0.0,9,0.0,583.6452822685242,False
209,10,False,11,0.0,0.0,5,0.0,291.2585651874542,False
209,10,False,11,0.0,0.0,4,0.0,219.17212772369385,False
209,10,False,11,0.0,0.0,11,0.0,730.0061843395233,False
209,10,False,11,0.0,0.0,8,0.0,511.0707278251648,False
209,10,False,11,0.0,0.0,6,0.0,364.79963731765747,False
209,10,False,19,0.0,0.0,4,0.0,218.58662247657776,False
209,10,False,19,0.0,0.0,1,0.0,1.0728836059570312e-05,False
209,10,False,11,0.0,0.0,7,0.0,438.13957691192627,False
213,10,False,3,0.0,0.0,1,0.0,1.1444091796875e-05,False
213,10,False,3,0.0,0.0,7,0.0,436.8249671459198,False
213,10,False,3,0.0,0.0,6,0.0,364.58584475517273,False
213,10,False,3,0.0,0.0,2,0.0,72.62749195098877,False
213,10,False,3,0.0,0.0,6,0.0,364.62085223197937,False
213,10,False,3,0.0,0.0,2,0.0,73.12351393699646,False
213,10,False,3,0.0,0.0,2,0.0,72.83117437362671,False
213,10,False,3,0.0,0.0,6,0.0,365.61086988449097,False
213,10,False,3,0.0,0.0,1,0.0,1.1205673217773438e-05,False
213,10,False,3,0.0,0.0,1,0.0,8.106231689453125e-06,False
215,10,False,5,0.0,0.0,10,0.0,655.457802772522,False
215,10,False,5,0.0,0.0,2,0.0,72.75492358207703,False
215,10,False,43,0.0,0.0,4,0.0,219.04132890701294,False
215,10,False,43,28,5953,1,73.00187301635742,73.0018846988678,False
215,10,False,5,0.0,0.0,3,0.0,146.7598512172699,False
215,10,False,5,0.0,0.0,1,0.0,1.1205673217773438e-05,False
215,10,False,5,0.0,0.0,2,0.0,73.02470326423645,False
215,10,False,5,0.0,0.0,1,0.0,1.2159347534179688e-05,False
215,10,False,5,0.0,0.0,5,0.0,291.8558554649353,False
215,10,False,5,0.0,0.0,1,0.0,1.0967254638671875e-05,False
217,10,False,7,0.0,0.0,3,0.0,146.24882340431213,False
217,10,False,7,0.0,0.0,1,0.0,1.0967254638671875e-05,False
217,10,False,7,0.0,0.0,1,0.0,7.867813110351562e-06,False
217,10,False,7,0.0,0.0,6,0.0,364.9668958187103,False
217,10,False,7,0.0,0.0,2,0.0,73.10919260978699,False
217,10,False,31,0.0,0.0,8,0.0,510.723774433136,False
217,10,False,31,0.0,0.0,3,0.0,145.47231578826904,False
217,10,False,7,0.0,0.0,4,0.0,219.34997296333313,False
217,10,False,31,0.0,0.0,3,0.0,145.64714860916138,False
217,10,False,7,0.0,0.0,17,0.0,1166.9200994968414,False
219,10,False,3,0.0,0.0,2,0.0,72.96863150596619,False
219,10,False,3,0.0,0.0,8,0.0,510.7004964351654,False
219,10,False,3,0.0,0.0,3,0.0,146.16849088668823,False
219,10,False,3,0.0,0.0,2,0.0,72.72246241569519,False
219,10,False,3,0.0,0.0,1,0.0,1.1444091796875e-05,False
219,10,False,3,0.0,0.0,1,0.0,8.344650268554688e-06,False
219,10,False,3,0.0,0.0,1,0.0,7.3909759521484375e-06,False
219,10,False,3,0.0,0.0,1,0.0,7.62939453125e-06,False
219,10,False,73,28,5953,4,73.19695997238159,291.80335307121277,False
219,10,False,3,0.0,0.0,7,0.0,438.47086691856384,False
221,10,False,13,0.0,0.0,3,0.0,145.76878786087036,False
221,10,False,17,0.0,0.0,21,0.0,1458.813870191574,False
221,10,False,13,0.0,0.0,4,0.0,218.42639017105103,False
221,10,False,13,0.0,0.0,2,0.0,72.98799800872803,False
221,10,False,13,0.0,0.0,5,0.0,291.64067697525024,False
221,10,False,13,0.0,0.0,1,0.0,1.0251998901367188e-05,False
221,10,False,17,0.0,0.0,18,0.0,1240.862550497055,False
221,10,False,17,0.0,0.0,3,0.0,145.3015387058258,False
221,10,False,13,0.0,0.0,16,0.0,1093.8643908500671,False
221,10,False,13,0.0,0.0,11,0.0,729.4314334392548,False
235,10,False,5,0.0,0.0,2,0.0,73.42437219619751,False
235,10,False,5,0.0,0.0,11,0.0,728.7357714176178,False
235,10,False,5,0.0,0.0,2,0.0,72.90848922729492,False
235,10,False,47,0.0,0.0,1,0.0,1.1444091796875e-05,False
235,10,False,5,0.0,0.0,1,0.0,7.867813110351562e-06,False
235,10,False,5,0.0,0.0,11,0.0,729.6047141551971,False
